|Samsung S3 touchscreens are more accurate than an iPhone's - but only if you're a robot http://t.co/Sk09kAT12b| positive 0.600115
|Happy diwali everyone. Wish you all a prosperous and a safe diwali.| positive 0.513915
|SUNNY SIDE UP HOE| positive 0.484228
|"I'd rather have hard times with you than good times with someone else. I'd rather be beside you in a storm than safe and sound by myself."| positive 0.468642
|HE LOOKS SO ADORABLE SINGING SHE WOLF BY SHAKIRA | positive 0.453466
|Album no 2 now available on iTunes! 'Fire of Zamani' starring @rubygyang MC Longs, @officialchip Sunny… http://t.co/7TBOyCsJhG| positive 0.435367
|Follow @iMore and retweet for your chance to win an iPad Air! #iMoreAir http://t.co/9mgV3SheO4| positive 0.433324
|Happy Halloween! #ThrowbackThursday  (Shakira - Halloween 2009) #tbt http://t.co/o0xYToThlT| positive 0.431934
|cloudy with a chance of meatballs 2 made me view the world as a really happy dreamy place with nothing mean. And the animals were food 😍| positive 0.41277
|I'm really glad they went with a completely different look for the cast of FSoG then what they had for Twilight. http://t.co/AN12zuZVc1| positive 0.409887
|Samsung Galaxy Note 3 is pretty in pink, out in the UK today http://t.co/YU2TID76g2 via @CNETUK| positive 0.395895
|Sunny with Prince http://t.co/XYpCXMm0vB Taeng with Prince's kennel http://t.co/3nfXDlX40b lucky prince| positive 0.390978
|Same curtain, same girls. Tiffany&amp;Sunny http://t.co/ie3xoaNMJo| positive 0.388465
|It's a holiday when we're together, I wanna stay with you forever, somewhere, somewhere sunny and 75. -Joe Nichols| positive 0.383718
|I loved that transition from B&amp;W to color, it was so Twilight Zone! #Supernatural| positive 0.362085
|Michael Carter-Williams has taken the NBA by storm! A Carter hasn't started a career this well since Jay-Z dropped 'Reasonable Doubt'.| positive 0.348704
|In other news, Japanese school kids perform Day Man from It's Always Sunny in Philadelphia: http://t.co/WDE7wn27ZR. (Via @Uproxx)| positive 0.3464
|Sunny voted for Girls' Generation's "I Got a Boy" to win Video of the Year at the YouTube Music Awards. http://t.co/Ngzwb7K0as #YTMA| positive 0.341561
|RT this tweet and follow for a chance to win an iPad.  Once we get 8650 followers we'll select a random winner #TeamInsider| positive 0.334269
|TY the pro instagrammer~ she tagged herself, Yuri n sunny http://t.co/xNWdJZG8BS| positive 0.333724
|Apparently I wasn't the only one with a rainy, cloudy commute today…stay dry friends and happy Friday. #weekend http://t.co/8GBCyouAy0| negative 0.331605
|I'm still very hopeful for the future of Palestinians, Jews and all people together in historic Palestine after Zionism ends.| positive 0.331461
|Was a sunny #day in #hongkong today. #andrewchriatian #haroborview http://t.co/ZXrPgUgWcr| positive 0.325862
|Flying's the safest mode of transportation. 2nd safest is dreaming. 3rd is decomposing  into rich earth &amp; drifting away with the wind &amp; rain| positive 0.31463
|One Direction have performed a well ghetto remix of 'Story of my Life' featuring MC Nialler and it's amazing. http://t.co/CXBJGcoOM8| positive 0.311574
|Ipad mini voted for Girls' Generation's "I Got a Boy" to win Video of the Year at the YouTube Music Awards. http://t.co/qMRRCUx65B #YTMA| positive 0.305459
|Ipad 2 voted for Girls' Generation's "I Got a Boy" to win Video of the Year at the YouTube Music Awards. http://t.co/qMRRCUx65B #YTMA| positive 0.305459
|Rumbo a Barcelona // Shakira wears her favourite combination of denim and leather as she jets out of LA #News http://t.co/D2YfUW2wV9| positive 0.305
|Shakira can speak English, Spanish, Italian, Arabic and Portuguese fluently.| positive 0.297227
|Happy Diwali to everybody celebrating today.| positive 0.294047
|A sunny Manhattan Afternoon, New York, USA http://t.co/Gp4Y9gUnux| positive 0.289897
|It's 71 and sunny in Houston..Real happy I remembered to pack my banana hammock..Gotta get these thighs ready for prime time mañana| positive 0.289703
|It's coming... @shakira will share an amazing ANNOUNCEMENT from Barcelona on November 8th, via @Ustream 1PM EST using hashtag #mysmile| positive 0.289602
|One random person to retweet this will win a new iPad Air. #MellowCollective
http://t.co/Gxa2q4riuS| positive 0.282714
|When it is raining, home is the best place to stay.| positive 0.282235
|5SOS help One Direction out with a pretty incredible joint performance of Teenage Dirtbag. http://t.co/rxDSjL9kMg OH THE FEELS.| positive 0.281523
|Sunny Hill's Janghyun has been discharged from the army! http://t.co/Lb94Tz6Bl8| positive 0.279858
|RT this and follow us for a chance to win an iPad. If we get 8500 followers tonight we will give it away| positive 0.278658
|Absolutely a gorgeous day here in LA. Sunny, clear sky... Going for a hike :)| positive 0.276498
|If she rather watch Miracle instead of Twilight, do not #DumpNChange| positive 0.276026
|I love this shot of me, the wind machine is blowing so cool and I just impaled someone's skull. Life is good. #Supernatural| positive 0.272386
|Goodnight, #DubNation. Sleep well to the gentle sound of threes raining down (courtesy of Klay Thompson): http://t.co/xN7i71uZTt| positive 0.270985
|Aww. Love so strong!! Sunny Neji &amp; Wife Celebrate Their 12th Wedding Anniversary + Pictures Of their ... http://t.co/ARPx2eoqzj| positive 0.270873
|Throughout the entire Twilight saga, there are over 24 minutes of just staring.| positive 0.269289
|I wish there was a "Django unchained" version of The Shining where Scatman Caruthers comes in packing Colt 45's and blows Nicholson away.| positive 0.266835
|Nothing better than a hard run across the sunny streets of Liverpool! #AndTheNewWBC http://t.co/o9SIfz53dK| positive 0.261824
|This is how Steve Jobs managed to make the iPad successful when all other tablets tanked. http://t.co/r3HYRtNsYe #longread| positive 0.258175
|Register revealing firms' true owners will be open to public, says Cameron http://t.co/t1F1wcJs45| positive 0.258079
|Keep your head clear. It doesn�t matter how bright the path is if your head is always cloudy. ~Unknown| positive 0.256231
|If you're lucky enough to get a second chance at something, don't waste it.| positive 0.25576
|Let me fly away..For my love is like the wind....for wild is the wind..| positive 0.253871
|1 DAY LEFT to enter our October #competition ! #RT #win a Samsung Galaxy smart phone! http://t.co/2GE2xjQ4yC http://t.co/oU3r7oMVHa| positive 0.253031
|If Sky News did current affairs as optimistically as Sky Sports does English rugby, you'd think Syria is Disneyworld. I love it. #positivity| positive 0.249318
|Wow. “@Astro_Ron: Good Morning Indeed! RT @FragileOasis Good morning. Sun shine on a cloudy day. http://t.co/BWkEpGiv0D”| positive 0.245417
|10 Samsung Galaxy S4 to be won Weekly! Switch to eBill to win, SMS your email to1997 or go online http://t.co/7mgKiNaAll| positive 0.244198
|The person above loves One Direction. http://t.co/VLJ5yaYI07| positive 0.243903
|Is the Samsung Galaxy Note 3 the best phablet ever? http://t.co/bUhCxxWyW8| positive 0.243547
|Happy Diwali to all, enjoy &amp; take care.| positive 0.243544
|Starbucks in the house...eh not exactly but under the Red Chillies office in Khar. Too excited. Happy Diwali all. http://t.co/aqJaNuXif5| positive 0.243539
|A #Syria back to school campaign reaches 400k #childrenofsyria, inc Muhammad and Shaza - but much more help is needed http://t.co/g4ajdEU9ww| positive 0.237175
|Oo, must read.RT @WIRED: This is how Steve Jobs managed to make the iPad successful when all other tablets tanked. http://t.co/d3e7oqKmpq| positive 0.236046
|Happy Diwali to all, wish this Diwali brings the light of truth and happiness in everyone's life
#iSupportAsaramBapu http://t.co/voMB6r5qev| positive 0.235273
|दीपावली की हार्दिक शुभकामनाएँ ! May the festival of lights illuminate our lives with joy, peace &amp; prosperity http://t.co/yculqxSLPg| positive 0.235104
|iPad Air 80 percent faster than iPad 4 in benchmarks http://t.co/Mgb1QIuk4r| positive 0.235024
|Just landed in Philly and it's far from sunny. I always knew that show was phony. #AlwaysSunnyInPhiladelphia #MyA$$| positive 0.225295
|PHOTOS" Stunning images of Diwali from around the world  http://t.co/sJZ9Zi4Ym1| positive 0.222495
|India at Night During Biggest Festival Of Hindu Religion. This deserves endless retweets.Wish them Happy Diwali: http://t.co/UiZN5R5QH8| positive 0.221979
|Join &amp; Invite Maximum Of People it is about Palestine ♥ ♥ ♥ don't be lazy xd :D https://t.co/Vn8k3SCpr9| positive 0.21804
|Kerry- Assad cannot be part of political transition, cannot see end to conflict if Assad is there. #syria| negative 0.212493
|NASA releases map of India on Diwali night. Wishing you and your loved one a prosperous and #HappyDiwali http://t.co/zhHlS2unLS| positive 0.209128
|T 1208 - The festival of lights, Deepawali, Diwali, Divali .. in what ever way you spell, makes just one statement .. peace and prosperity !| positive 0.207221
|'Where's My Wind Machine?' #KingslandRoadVogue (thanks for the rig out Sam B) x http://t.co/nmc0L8DYIU| positive 0.204894
|Here's my review of the new iPad Air, which did amazingly well on my battery test, despite being slimmer/lighter. http://t.co/ITWQdgjfYF| positive 0.201247
|So what happens when Halloween and Diwali coincide? Why this wonderful thing happens of course! ht @sunny_hundal http://t.co/pvcNlxL3dI| positive 0.198726
|No relationship is all sunshine, but instead it's two people who can share one umbrella and survive the storm together.| positive 0.197535
